left	pron	right	candidates	selected
Steve follows Fred's example in everything.	He	admires him hugely.	Steve,Fred	0
Steve follows Fred's example in everything.	He	influences him hugely.	Steve,Fred	1
Grace was happy to trade me her sweater for my jacket. She thinks	it	looks dowdy on her.	The sweater,The jacket	0
Grace was happy to trade me her sweater for my jacket. She thinks	it	looks great on her.	The sweater,The jacket	1
John hired Bill to take care of	him	.	John,Bill	0
John hired himself out to Bill to take care of	him	.	John,Bill	1
John promised Bill to leave, so an hour later	he	left.	John,Bill	0
John ordered Bill to leave, so an hour later	he	left.	John,Bill	1
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties	he	faced in his research.	Goodman,Xenophanes	0
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties	he	faced in his childhood.	Goodman,Xenophanes	1
Jane knocked on Susan's door but	she	did not get an answer.	Jane,Susan	0
Jane knocked on Susan's door but	she	did not answer.	Jane,Susan	1
Beth didn't get angry with Sally, who had cut her off, because	she	stopped and counted to ten.	Beth,Sally	0
Beth didn't get angry with Sally, who had cut her off, because	she	stopped and apologized.	Beth,Sally	1
Dan took the rear seat while Bill claimed the front because	his	"Dibs!" was slow.	Dan,Bill	0
Dan took the rear seat while Bill claimed the front because	his	"Dibs!" was quicker.	Dan,Bill	1
Tom said "Check" to Ralph as he moved	his	bishop.	Tom,Ralph	0
Tom said "Check" to Ralph as he took	his	bishop.	Tom,Ralph	1
As Andrea in the crop duster passed over Susan,	she	could see the landing strip.	Andrea,Susan	0
As Andrea in the crop duster passed over Susan,	she	could see the landing gear.	Andrea,Susan	1
Tom gave Ralph a lift to school so	he	wouldn't have to drive alone.	Tom,Ralph	0
Tom gave Ralph a lift to school so	he	wouldn't have to walk.	Tom,Ralph	1
Bill passed the half-empty plate to John because	he	was full.	Bill,John	0
Bill passed the half-empty plate to John because	he	was hungry.	Bill,John	1
Bill passed the gameboy to John because	his	turn was over.	Bill,John	0
Bill passed the gameboy to John because	his	turn was next.	Bill,John	1
The man lifted the boy onto	his	shoulders.	The man,The boy	0
The man lifted the boy onto	his	bunk bed.	The man,The boy	1
Stretching	her	back, the woman smiled at the girl.	The woman,The girl	0
Patting	her	back, the woman smiled at the girl.	The woman,The girl	1
Billy cried because Toby wouldn't accept	his	toy.	Billy,Toby	0
Billy cried because Toby wouldn't share	his	toy.	Billy,Toby	1
Lily spoke to Donna, breaking	her	silence.	Lily,Donna	0
Lily spoke to Donna, breaking	her	concentration.	Lily,Donna	1
When Tommy dropped his ice cream, Timmy giggled, so father gave	him	a sympathetic look.	Tommy,Timmy	0
When Tommy dropped his ice cream, Timmy giggled, so father gave	him	a stern look.	Tommy,Timmy	1
As Ollie carried Tommy up the long winding steps,	his	legs ached.	Ollie,Tommy	0
As Ollie carried Tommy up the long winding steps,	his	legs dangled.	Ollie,Tommy	1
The woman held the girl against	her	chest	The woman,The girl	0
The woman held the girl against	her	will.	The woman,The girl	1
Dan had to stop Bill from toying with the injured bird.	He	is very compassionate.	Dan,Bill	0
Dan had to stop Bill from toying with the injured bird.	He	is very cruel.	Dan,Bill	1
George got free tickets to the play, but he gave them to Eric, even though	he	was particularly eager to see it.	George,Eric	0
George got free tickets to the play, but he gave them to Eric, because	he	was particularly eager to see it.	George,Eric	1
George got free tickets to the play, but he gave them to Eric, because	he	was not particularly eager to see it.	George,Eric	0
Jane gave Joan candy because	she	wasn't hungry.	Jane,Joan	0
Jane gave Joan candy because	she	was hungry.	Jane,Joan	1
James asked Robert for a favor but	he	was refused.	James,Robert	0
James asked Robert for a favor but	he	refused.	James,Robert	1
Kirilov ceded the presidency to Shatov because	he	was less popular.	Kirilov,Shatov	0
Kirilov ceded the presidency to Shatov because	he	was more popular.	Kirilov,Shatov	1
Emma did not pass the ball to Janie although	she	saw that she was open.	Emma,Janie	0
Emma did not pass the ball to Janie although	she	was open.	Emma,Janie	1
Carol believed that Rebecca suspected that	she	had stolen the watch.	Carol,Rebecca	0
Carol believed that Rebecca regretted that	she	had stolen the watch.	Carol,Rebecca	1
