left	pron	right	candidates	selected
Mr. Moncrieff visited Chester's luxurious New York apartment, thinking  that it belonged to his son Edward. The result was that Mr. Moncrieff  has decided to cancel Edward's allowance on the ground that he no  longer requires	his	financial support.	Mr. Moncrieff,Chester,Edward	0
Mama came over and sat down beside Alice. Gently	she	stroked her hair  and let the child weep.	Mama,Alice	0
Mama came over and sat down beside Alice. Gently she stroked	her	hair and let the child weep.	Mama,Alice	1
Alice was dusting the living room and trying to find the button that  Mama had hidden. No time today to look at old pictures in	her	favorite  photo album. Today she had to hunt for a button, so she put the album  on a chair without even opening it.	Alice,Mama	0
Alice was dusting the living room and trying to find the button that  Mama had hidden. No time today to look at old pictures in her favorite  photo album. Today	she	had to hunt for a button, so she put the album  on a chair without even opening it.	Alice,Mama	0
Alice was dusting the living room and trying to find the button that  Mama had hidden. No time today to look at old pictures in her favorite  photo album. Today she had to hunt for a button, so she put the album  on a chair without even opening	it	.	living room,button,album,chair	2
Papa looked down at the children's faces, so puzzled and sad now. It was  bad enough that	they	had to be denied so many things because he couldn't  afford them.	children,faces	0
Papa looked down at the children's faces, so puzzled and sad now. It was  bad enough that they had to be denied so many things because he couldn't  afford	them	.	children,faces,things	2
Every day after dinner Mr. Schmidt took a long nap. Mark would let him  sleep for an hour, then wake him up, scold him, and get him to work.	He	needed to get him to finish his work, because  his work was beautiful	Mr. Schmidt,Mark	1
Every day after dinner Mr. Schmidt took a long nap. Mark would let him  sleep for an hour, then wake him up, scold him, and get him to work.  He needed to get him to finish his work, because	his	work was beautiful	Mr. Schmidt,Mark	0
The signs over the shops'  doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because	he	happened to be illiterate.	artisan,patron	1
Mark became absorbed in Blaze, the white horse.	He	was afraid the stable  boys at  the Burlington Stables struck at him and bullied him because he was timid,  so he took upon himself the feeding and care of the animal.	Mark,Blaze	0
Mark became absorbed in Blaze, the white horse. He was afraid the stable  boys at the Burlington Stables struck at him and bullied him because  he was timid,  so	he	took upon himself the feeding and care of the animal.	Mark,Blaze	0
Mark was close to Mr. Singer's heels.	He	heard him calling for the captain, promising him, in the jargon everyone talked that night,  that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the  work was over	Mark,Mr. Singer	0
Mark was close to Mr. Singer's heels. He heard	him	calling for the captain, promising him, in the jargon everyone talked that night,  that not one thing should be damaged on the ship except only the ammunition,  but the captain and all his crew had best stay in the cabin until the  work was over.	Mark,Mr. Singer	1
Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night,  that not one thing should be damaged on the ship except only the ammunition, but the captain and all	his	crew had best stay in the cabin until the  work was over.	Mark,Mr. Singer,the captain	2
Mark heard Steve's feet going down the ladder. The door of the shop closed after	him	. He ran to look out the window.	Mark,Steve	1
Mark heard Steve's feet going down the ladder. The door of the shop closed after him.	He	ran to look out the window.	Mark,Steve	0
Of one thing Mark was sure. Harry knew much less than	he	did.	Mark,Harry	0
So Mark slept. It was daylight when he woke with Warren's hand upon	his	shoulder.	Mark,Warren	0
By rolling over in her upper berth, Tatyana could look over the edge of  it and see her mother plainly. How very small and straight and rigid	she	lay in the bunk below! Her eyes were closed, but Tatyana doubted if  she slept.	Tatyana,mother	1
By rolling over in her upper berth, Tatyana could look over the edge of  it and see her mother plainly. How very small and straight and rigid  she lay in the bunk below! Her eyes were closed, but Tatyana doubted if	she	slept.	Tatyana,mother	1
When Tatyana reached the cabin,  her mother was sleeping.	She	was careful not to disturb her,  undressing and climbing back into her berth.	Tatyana,mother	0
When Tatyana reached the cabin,  her mother was sleeping. She was careful  not to disturb	her	, undressing and climbing back into her berth.	Tatyana,mother	1
When Tatyana reached the cabin,  her mother was sleeping. She was careful  not to disturb her, undressing and climbing back into	her	berth.	Tatyana,mother	0
Tatyana managed two guitars and a bag, and still could point out the  Freemans: "Isn't it nice that	they	have come, Mama!"	two guitars and a bag,the Freemans	1
Tatyana knew that Grandma always enjoyed serving an abundance of food  to her guests.  Now Tatyana watched as Grandma gathered Tatyana's small  mother into a wide, scrawny embrace and then propelled	her	to the table,  lifting her shawl from her shoulders, seating her in the place of honor,  and saying simply: "There's plenty."	Tatyana,Grandma,Tatyana's mother	2
The table was piled high with food, and on the floor beside	it	there were crocks, baskets, and a five-quart pail of milk.	table,food,floor	0
Grant worked hard to harvest his beans so he and his family would have  enough to eat that winter,  His friend Henry let him stack	them	in his  barn where they would dry. Later, he and Tatyana would shell them and  cook them for their Sunday dinners.	beans,Grant and his family	0
Grant worked hard to harvest his beans so he and his family would have  enough to eat that winter,  His friend Henry let him stack them in his  barn where they would dry. Later, he and Tatyana would shell them and  cook them for	their	Sunday dinners.	beans,he and Tatyana	1
