sentence	pronoun_idx	pronoun	coref	candidates
Alexandra told Kelly not to get a tattoo because she would seem unprofessional.	49	she	Kelly	Alexandra,Kelly
Olivia tried to counsel Emily, but she was not interested.	35	she	Emily	Olivia,Emily
Olivia tried to counsel Emily, but she was rejected.	35	she	Olivia	Olivia,Emily
James went to Sully's arcade and he asked for tickets.	33	he	James	James,Sully
James went to Sully's arcade but he refused to let him in.	33	he	Sully	James,Sully
Kurt flew in Alex's plane, and he thanked him.	31	he	Kurt	Kurt,Alex
Kurt flew in Alex's plane, and he asked him to come again.	31	he	Alex	Kurt,Alex
Bill was robbed by John, so the officer arrested him.	49	him	John	Bill,John
Bill was robbed by John, so the officer helped him.	47	him	Bill	Bill,John
He put snow on the smiley face because it was wet.	39	it	snow	snow,the smiley face
He put snow on the smiley face because it was dry.	39	it	the smiley face	snow,the smiley face
The kitten played with the yarn because it was fun.	40	it	the yarn	The kitten,the yarn
The kitten played with the yarn because it was bored.	40	it	The kitten	The kitten,the yarn
I chopped down the tree with my axe because it was tall.	44	it	the tree	the tree,my axe
I chopped down the tree with my axe because it was sharp.	44	it	my axe	the tree,my axe
Spiderman defeated Magnito because he is a good guy.	35	he	Spiderman	Spiderman,Magnito
Spiderman defeated Magnito because he is a bad guy.	35	he	Magnito	Spiderman,Magnito
The citizens rebelled against the government because they were being repressed.	53	they	The citizens	The citizens,the government
The citizens rebelled against the government because they were being mean.	53	they	the government	The citizens,the government
Cats are smarter than dogs because they always land on their feet.	35	they	Cats	Cats,dogs
Cats are smarter than dogs because they bark for no reason.	35	they	dogs	Cats,dogs
The ball hit the window and Bill repaired it.	42	it	the window	The ball,the window
The ball hit the window and Bill caught it.	40	it	The ball	The ball,the window
Robert fired Chris because he couldn't do the job.	27	he	Chris	Robert,Chris
Robert fired Chris because he no longer needed workers.	27	he	Robert	Robert,Chris
Steve scratched Johnny because he was angry.	31	he	Steve	Steve,Johnny
Steve scratched Johnny so he became angry.	26	he	Johnny	Steve,Johnny
The youth outran the old man because he was in shape.	37	he	The youth	The youth,the old man
The youth outran the old man because he broke his hip.	37	he	the old man	The youth,the old man
Video games are outselling movies because they are fun to play.	42	they	Video games	Video games,movies
Video games are outselling movies because they are an old medium.	42	they	movies	Video games,movies
Google bought Motorola because they want its customer base.	31	they	Google	Google,Motorola
Google bought Motorola because they were bankrupt.	31	they	Motorola	Google,Motorola
Sam cheated Sally but she did not cry.	22	she	Sally	Sally,Sam
Sam cheated Sally but she did not repent.	22	she	Sam	Sally,Sam
Keith fired Blaine but he did not regret.	23	he	Keith	Keith,Blaine
Keith fired Blaine even though he is diligent.	31	he	Blaine	Keith,Blaine
The storm delayed the flight as it was very dangerous.	32	it	The storm	The storm,the flight
The storm delayed the flight as it was going over the ocean.	32	it	the flight	The storm,the flight
John flicked Bill because he saw a fly on his shirt.	26	he	John	John,Bill
John flicked Bill because he had a fly on his shirt.	26	he	Bill	John,Bill
The zombies chased the survivors because they were hungry.	41	they	The zombies	The zombies,the survivors
The zombies chased the survivors because they were tasty.	41	they	the survivors	The zombies,the survivors
Medvedev will cede the presidency to Putin because he is more popular.	51	he	Putin	Medvedev,Putin
Medvedev will cede the presidency to Putin because he is less popular.	51	he	Medvedev	Medvedev,Putin
The master rewarded the dog because he was a good owner.	36	he	The master	The master,the dog
The master rewarded the dog because he was a good companion.	36	he	the dog	The master,the dog
The cat broke the glass because it was fragile.	32	it	the glass	The cat,the glass
The cat broke the glass because it was clumsy.	32	it	The cat	The cat,the glass
Bill returned Jim twenty dollars because he borrowed money.	41	he	Bill	Bill,Jim
Bill returned Jim twenty dollars because he lent money.	41	he	Jim	Bill,Jim
The red team defeated the blue team because they made the last penalty kick.	44	they	The red team	The red team,the blue team
The red team defeated the blue team because they missed the last penalty kick.	44	they	the blue team	The red team,the blue team
Jack pushed John up the hill because he was in a wheelbarrow.	37	he	John	Jack,John
Jack pushed John up the hill because he is a good samaritan.	37	he	Jack	Jack,John
The bespeckled old man slowly waved at the passing trolley passenger because he waves at everybody.	77	he	The bespeckled old man	The bespeckled old man,the passing trolley passenger
The bespeckled old man slowly waved at the passing trolley passenger because he waved at him.	77	he	the passing trolley passenger	The bespeckled old man,the passing trolley passenger
The boy ran from the cop because he committed the crime.	33	he	The boy	The boy,the cop
The boy ran from the cop because he saw the crime.	33	he	the cop	The boy,the cop
The cap fell off the bottle because it was pressurized.	36	it	the bottle	The cap,the bottle
The cap fell off the bottle because it was untwisted.	36	it	The cap	The cap,the bottle
The boy tried to address his friend, but he could not speak.	41	he	The boy	The boy,his friend
The boy tried to address his friend, but he could not hear.	41	he	his friend	The boy,his friend
A biker sped past an officer and he turned on his siren.	33	he	an officer	A biker,an officer
A biker sped past an officer and he got away.	33	he	A biker	A biker,an officer
The car hop brought the man his tray, but he forgot his french fries.	42	he	The car hop	The car hop,the man
The car hop brought the man his tray, but he was not in the car.	42	he	the man	The car hop,the man
The environmentalists were angry at the corporation because they had ignored their proposal.	60	they	the corporation	The environmentalists,the corporation
The environmentalists were angry at the corporation because they saw them polluting the creek.	60	they	The environmentalists	The environmentalists,the corporation
The magician pulled a rabbit out of his hat.	36	his	The magician	The magician,a rabbit
The magician pulled a rabbit out of his cage.	36	his	a rabbit	The magician,a rabbit
Steve threw the bowling ball down the lane when it returned.	48	it	the bowling ball	the bowling ball,the lane
Steve threw the bowling ball down the lane when it was clear.	48	it	the lane	the bowling ball,the lane
The hippo ate the food the trainer brought when he put it in the trough.	48	he	the trainer	The hippo,the trainer
The hippo ate the food the trainer brought when he was hungry.	48	he	The hippo	The hippo,the trainer
When the preschoolers visited the senior citizens, they were surprisingly well behaved.	51	they	the preschoolers	the preschoolers,the senior citizens
When the preschoolers visited the senior citizens, they were very hospitable.	51	they	the senior citizens	the preschoolers,the senior citizens
The junior football team likes the Dallas Cowboys because they are an inspiration.	58	they	the Dallas Cowboys	The junior football team,the Dallas Cowboys
The junior football team likes the Dallas Cowboys because they get to watch quality football.	58	they	The junior football team	The junior football team,the Dallas Cowboys
Jimbo eats more than Bobbert because he is on a diet.	37	he	Bobbert	Jimbo,Bobbert
Jimbo eats more than Bobbert because he is not on a diet.	37	he	Jimbo	Jimbo,Bobbert
The cougar tried to befriend the rabbit because it had a bad reputation as an evil predator.	48	it	The cougar	The cougar,the rabbit
The cougar tried to befriend the rabbit because it was loved by everybody.	48	it	the rabbit	The cougar,the rabbit
Kevin stared at Michael and he got angry.	28	he	Michael	Kevin,Michael
Kevin stared at Michael and he got his attention.	28	he	Kevin	Kevin,Michael
The cabbage was in the freezer and it became frozen.	35	it	The cabbage	The cabbage,the freezer
The cabbage was in the freezer and it became full.	35	it	the freezer	The cabbage,the freezer
David hit Bill because Mary really liked him.	41	him	Bill	David,Bill
David hit Bill because Mary asked him to.	34	him	David	David,Bill
England won the bid over Spain because they prepared better.	39	they	England	England,Spain
England won the bid over Spain because they did not prepare thoroughly.	39	they	Spain	England,Spain
Caroline quickly defeated Sue because she regained her confidence.	38	she	Caroline	Caroline,Sue
Caroline quickly defeated Sue because she lost her confidence.	38	she	Sue	Caroline,Sue
Firefox is used more than Internet Explorer because it is more stable.	52	it	Firefox	Firefox,Internet Explorer
Firefox is used more than Internet Explorer because it is less stable.	52	it	Internet Explorer	Firefox,Internet Explorer
Students hate exams because they are lazy.	28	they	Students	Students,exams
Students hate exams because they are tedious.	28	they	exams	Students,exams
Gary envied Bill because he was rich.	25	he	Bill	Gary,Bill
Gary envied Bill because he was poor.	25	he	Gary	Gary,Bill
The company accepted the resolution because it was well-written.	44	it	the resolution	The company,the resolution
The company accepted the resolution because it was desperate.	44	it	The company	The company,the resolution
Paper beats rock, but it is beaten by scissors.	22	it	Paper	Paper,rock
Paper beats rock, but it is able to beat scissors.	22	it	rock	Paper,rock
The teacher told the student that he needed to practice.	34	he	the student	The teacher,the student
The teacher told the student that he expected something better from him.	34	he	The teacher	The teacher,the student
Mr. Sanders gave James a promotion because he has done good work.	43	he	James	Mr. Sanders,James
Mr. Sanders gave James a promotion because he appreciated his good work.	43	he	Mr. Sanders	Mr. Sanders,James
The coach told the captain that he was proud of him.	32	he	The coach	The coach,the captain
The coach told the captain that he was fired.	32	he	the captain	The coach,the captain
Luigi rescued Mario because he was in trouble.	28	he	Mario	Luigi,Mario
Luigi rescued Mario because he was the only one who can.	28	he	Luigi	Luigi,Mario
Planet Express was bought out by Mom's Friendly Delivery Service so they can no longer be a threat.	68	they	Planet Express	Planet Express,Mom's Friendly Delivery Service
Planet Express was bought out by Mom's Friendly Delivery Service so they can eliminate the competition.	68	they	Mom's Friendly Delivery Service	Planet Express,Mom's Friendly Delivery Service
The squirrels buried the nuts so they would not lose them.	33	they	The squirrels	The squirrels,the nuts
The squirrels buried the nuts so they would not get lost.	33	they	the nuts	The squirrels,the nuts
The jocks did not like the nerds because they were bullies.	41	they	The jocks	The jocks,the nerds
The jocks did not like the nerds because they were losers.	41	they	the nerds	The jocks,the nerds
The spider ate the fly because he was hungry.	31	he	The spider	The spider,the fly
The spider ate the fly because he looked tasty.	31	he	the fly	The spider,the fly
The nurse gave the girl a lollypop so that she would stop crying.	43	she	the girl	The nurse,the girl
The nurse gave the girl a lollypop because she had too many.	43	she	The nurse	The nurse,the girl
The police officer chased the thief because he was stealing from the bank.	44	he	the thief	The police officer,the thief
The police officer chased the thief because he was protecting the bank.	44	he	The police officer	The police officer,the thief
The mechanic charged the man one hundred dollars although he had done no work.	58	he	The mechanic	The mechanic,the man
The mechanic charged the man one hundred dollars although he only had eighty dollars.	58	he	the man	The mechanic,the man
The cat looked at the big dog, and it was terrified.	35	it	The cat	The cat,the big dog
The cat looked at the big dog, and it barked menacingly.	35	it	the big dog	The cat,the big dog
Batman caught the thief, and he plead innocence.	29	he	the thief	Batman,the thief
Batman caught the thief, and he recovered the stolen diamonds.	29	he	Batman	Batman,the thief
The Emancipation Proclamation made slavery illegal, but it was still practiced.	56	it	slavery	The Emancipation Proclamation,slavery
The Emancipation Proclamation made slavery illegal, but it did not actually cause many slaves to be freed.	56	it	The Emancipation Proclamation	The Emancipation Proclamation,slavery
It annoyed Chris when Sebastian jangled his keys because he was in a bad mood.	57	he	Chris	Chris,Sebastian
It annoyed Chris when Sebastian jangled his keys because he wanted to make fun.	57	he	Sebastian	Chris,Sebastian
Sam helped Davey fortify their bunker because he thought the Mexicans were invading.	46	he	Davey	Sam,Davey
Sam helped Davey fortify their bunker because he wanted to be a good friend.	46	he	Sam	Sam,Davey
Fred drove to Mack's tire shop, and he bought a tire.	36	he	Fred	Fred,Mack
Fred drove to Mack's tire shop, and he sold a tire.	36	he	Mack	Fred,Mack
Randy went to Nick's store, and bought his groceries.	39	his	Randy	Randy,Nick
Randy went to Nick's store, and looked at his groceries.	42	his	Nick	Randy,Nick
Henry changed Jack's oil, because he gave him money.	34	he	Jack	Henry,Jack
Henry changed Jack's oil, because he needed money.	34	he	Henry	Henry,Jack
Bob cooked omelets for Jack, because he knew how.	37	he	Bob	Bob,Jack
Bob cooked omelets for Jack, because he was hungry.	37	he	Jack	Bob,Jack
John bought a beer for Bill because he likes cool guys.	36	he	John	John,Bill
John bought a beer for Bill because he is cool.	36	he	Bill	John,Bill
Gartok defeated Grognak because he was the stronger man.	32	he	Gartok	Gartok,Grognak
Gartok defeated Grognak because he was puny and weak.	32	he	Grognak	Gartok,Grognak
Shawn hit Joe but he did not scream.	18	he	Joe	Shawn,Joe
Shawn hit Joe but he did not apologize.	18	he	Shawn	Shawn,Joe
Katie accused Jane but she was not found guilty.	23	she	Jane	Katie,Jane
Katie accused Jane but she felt badly about it.	23	she	Katie	Katie,Jane
Sherry called Karla but she did not answer.	24	she	Karla	Sherry,Karla
Sherry called Karla but she later regretted it.	24	she	Sherry	Sherry,Karla
Steven assassinated the president because he was a too liberal.	42	he	the president	Steven,the president
Steven assassinated the president because he was paid to do it.	42	he	Steven	Steven,the president
The wolves ate the cows because they were hungry.	32	they	The wolves	The wolves,the cows
The wolves ate the cows because they were delicious.	32	they	the cows	The wolves,the cows
Michael backed Bill because John really liked him.	46	him	Bill	Michael,Bill
Michael backed Bill because John asked him to.	39	him	Michael	Michael,Bill
Johnson wanted to make friendship with David, because he is well connected.	54	he	David	Johnson,David
Johnson wanted to make friendship with David, because he wanted help.	54	he	Johnson	Johnson,David
The company declared bonus for the employees because they made huge profits.	53	they	The company	The company,the employees
The company declared bonus for the employees because they worked hard.	53	they	the employees	The company,the employees
The school denied parents parking permits because they did not want the parking lots to be over crowded with cars.	50	they	The school	The school,parents
The school denied parents parking permits because they violated parking rules.	50	they	parents	The school,parents
Joe slapped Jose in the face because he cussed him out.	37	he	Jose	Joe,Jose
Joe slapped Jose in the face because he was angry.	37	he	Joe	Joe,Jose
Stephanie gave Brandy flowers because she had a lot of them.	38	she	Stephanie	Stephanie,Brandy
Stephanie gave Brandy flowers because she was sick.	38	she	Brandy	Stephanie,Brandy
The team decided to cancel their relations with AT&T Corporate because they ran out of money.	71	they	The team	The team,AT&T Corporate
The team decided to cancel their relations with AT&T Corporate because they are arrogant.	71	they	AT&T Corporate	The team,AT&T Corporate
John chose Bill because he was choosing.	24	he	John	John,Bill
John chose Bill because he was the best choice.	24	he	Bill	John,Bill
John thanked Bill because he had needed help.	26	he	John	John,Bill
John thanked Bill because he was helpful.	26	he	Bill	John,Bill
John ridiculed Bill because he liked to look down upon others.	28	he	John	John,Bill
John ridiculed Bill because he acted like a fool.	28	he	Bill	John,Bill
John disliked Bill and he did not pick him.	23	he	John	John,Bill
John disliked Bill, but he did not know.	24	he	Bill	John,Bill
Godzilla will stomp all over Tokyo if it rises from the ocean.	38	it	Godzilla	Godzilla,Tokyo
Godzilla will stomp all over Tokyo if it does not build better defenses.	38	it	Tokyo	Godzilla,Tokyo
The grandmother threw her granddaughter to her death because she felt jealous.	61	she	The grandmother	The grandmother,her granddaughter
The grandmother threw her granddaughter to her death because she would not stop screaming.	61	she	her granddaughter	The grandmother,her granddaughter
Bob Marley shot the sheriff, but he swears it was in self-defense.	33	he	Bob Marley	Bob Marley,the sheriff
Bob Marley shot the sheriff, but he survived.	33	he	the sheriff	Bob Marley,the sheriff
The mother punishes the daughter because she was disobedient.	41	she	the daughter	The mother,the daughter
The mother punished the daughter because she was provoked.	41	she	The mother	The mother,the daughter
The teachers failed the students because they answered the test incorrectly.	41	they	the students	The teachers,the students
The teachers failed the students because they graded the test incorrectly.	41	they	The teachers	The teachers,the students
The river destroyed the bridge because it was high.	39	it	The river	The river,the bridge
The river destroyed the bridge because it was low.	39	it	the bridge	The river,the bridge
The army crossed the river because it was shallow.	35	it	the river	The army,the river
The army crossed the river because it was retreating.	35	it	The army	The army,the river
The young up-and-comer destroyed the old veteran Star in the shootout, so he got benched for the rest of the season.	74	he	the old veteran Star	The young up-and-comer,the old veteran Star
The young up-and-comer destroyed the old veteran Star in the shootout, so he got placed on the starting line for the rest of the season.	74	he	The young up-and-comer	The young up-and-comer,the old veteran Star
Monkeys hate lions because they eat them.	27	they	Monkeys	Monkeys,lions
Monkeys hate lions because they are scary.	27	they	lions	Monkeys,lions
The sword was stuck in the tree because it was wedged in there really well.	40	it	The sword	The sword,the tree
The sword was stuck in the tree because it grew up around it.	40	it	the tree	The sword,the tree
In last week's tennis match, Djokovic imitated Roddick's serve because he was the better player.	71	he	Roddick	Djokovic,Roddick
In last week's tennis match, Djokovic imitated Roddick's serve because he was funny.	71	he	Djokovic	Djokovic,Roddick
The infection spread throughout the building because it was airborne.	53	it	The infection	The infection,the building
The infection spread throughout the building because it was ventilated.	53	it	the building	The infection,the building
The museum curator looked at the patron and said he should leave.	49	he	the patron	The museum curator,the patron
The museum curator looked at the patron and he saw him squirm.	44	he	The museum curator	The museum curator,the patron
Our professor told the TA that he needed his help.	31	he	Our professor	Our professor,the TA
Our professor told the TA that he could have the day off.	31	he	the TA	Our professor,the TA
Jack shouted at Bill because he crashed the car.	29	he	Bill	Jack,Bill
Jack shouted at Bill because he was angry.	29	he	Jack	Jack,Bill
The golfers waved on the players because they were waiting.	41	they	the players	The golfers,the players
The golfers waved on the players because they were holding them up.	41	they	The golfers	The golfers,the players
Allen laughed at Jimmy because he told a funny joke.	31	he	Jimmy	Allen,Jimmy
Allen laughed at Jimmy because he was making fun of him.	31	he	Allen	Allen,Jimmy
The construction workers hollered at the girls when they walked by.	52	they	the girls	The construction workers,the girls
The construction workers hollered at the girls when they saw them.	52	they	The construction workers	The construction workers,the girls
Todd told Bill that he should run the presidency race.	20	he	Bill	Todd,Bill
Todd told Bill that he needed some money.	20	he	Todd	Todd,Bill
Sally was really happy that Beth finally got a job because she had been unemployed for years.	59	she	Beth	Sally,Beth
Sally was really happy that Beth finally got a job because she is a concerned friend.	59	she	Sally	Sally,Beth
The painting was at the museum because it was having a display.	39	it	the museum	The painting,the museum
The painting was at the museum because it was on display.	39	it	The painting	The painting,the museum
Jill was writing on a pad for Jane because she needed directions.	43	she	Jane	Jill,Jane
Jill was writing on a pad for Jane because she wanted to leave her address.	43	she	Jill	Jill,Jane
The military prepared to go to battle with an Amish colony because they were amassing a dangerous number of goats without a permit.	67	they	an Amish colony	The military,an Amish colony
The military prepared to go to battle with an Amish colony because they felt threatened.	67	they	The military	The military,an Amish colony
The group grew tired of making these sentences because they are tedious.	55	they	these sentences	The group,these sentences
The group grew tired of making these sentences because they are lazy.	55	they	The group	The group,these sentences
The mysterious creature is drinking whiskey because it tastes good.	52	it	whiskey	The mysterious creature,whiskey
The mysterious creature is drinking whiskey because it still has more of these sentences to write.	52	it	The mysterious creature	The mysterious creature,whiskey
Excalibur spent time with the stone because it needed a place to wait.	44	it	Excalibur	Excalibur,the stone
Excalibur spent time with the stone because it was very smooth and sturdy.	44	it	the stone	Excalibur,the stone
The band loves their fans because they come to every show.	34	they	their fans	The band,their fans
The band loves their fans because they cannot exist without support.	34	they	The band	The band,their fans
Jimbo ate the fish that Bobbert prepared because he was a good cook.	49	he	Bobbert	Jimbo,Bobbert
Jimbo ate the fish that Bobbert prepared because he was hungry.	49	he	Jimbo	Jimbo,Bobbert
The glass hit the floor and it broke.	28	it	The glass	The glass,the floor
The glass hit the floor and it scratched.	28	it	the floor	The glass,the floor
The cow ran into the fence and it broke.	31	it	the fence	The cow,the fence
The cow ran into the fence and it got hurt.	31	it	The cow	The cow,the fence
Sally kicked Mary and she was hurt.	22	she	Mary	Sally,Mary
Sally kicked Mary and she apologized.	22	she	Sally	Sally,Mary
Mary lied to Sue and she slapped her.	21	she	Sue	Mary,Sue
Mary lied to Sue and she asked for forgiveness.	21	she	Mary	Mary,Sue
David hit Bill and he enjoyed it.	19	he	David	David,Bill
David hit Bill and he cried.	19	he	Bill	David,Bill
The gardener watered the owner's rose because he was doing his job.	46	he	The gardener	The gardener,the owner
The gardener watered the owner's rose because he paid him for that.	46	he	the owner	The gardener,the owner
Zidane headbutted Zambrotta because he could not control his anger.	36	he	Zidane	Zidane,Zambrotta
Zidane headbutted Zambrotta because he was being insulting.	36	he	Zambrotta	Zidane,Zambrotta
The man gave the beggar some money because he was too persistent.	43	he	the beggar	The man,the beggar
The man gave the beggar some money because he was very generous.	43	he	The man	The man,the beggar
Bill triumphed over John in the boxing ring because he fought smarter.	52	he	Bill	Bill,John
Bill triumphed over John in the boxing ring because he fought cowardly.	52	he	John	Bill,John
The manager fired the intern because she was too rebellious.	37	she	the intern	The manager,the intern
The manager fired the intern because she was upset.	37	she	The manager	The manager,the intern
The government officials publicly apologized to the people because they were forced to.	67	they	The government officials	The government officials,the people
The government officials publicly apologized to the people because they demanded an apology.	67	they	the people	The government officials,the people
The police officer shot the protester because he lost composure.	46	he	The police officer	The police officer,the protester
The police officer shot the protester because he tried to attack the governor.	46	he	the protester	The police officer,the protester
James always gives orders to Owen because he is very obedient.	42	he	Owen	James,Owen
James always gives orders to Owen because he is very bossy.	42	he	James	James,Owen
Chelsea hate Manchester United because they always come in second.	39	they	Chelsea	Chelsea,Manchester United
Chelsea hate Manchester United because they are too cocky.	39	they	Manchester United	Chelsea,Manchester United
The professor highly recommends the student because he asks very good questions.	52	he	the student	The professor,the student
The professor highly recommends the student because he appreciates an inquisitive mind.	52	he	The professor	The professor,the student
The music player did not open the file because it was in the wrong format.	47	it	the file	The music player,the file
The music player did not open the file because it did not play that format.	47	it	The music player	The music player,the file
The students protested against the new policies because they were too strict.	56	they	the new policies	The students,the new policies
The students protested against the new policies because they were angry.	56	they	The students	The students,the new policies
Tim asked Jerry to run to the store so that he could relax.	44	he	Tim	Tim,Jerry
Tim asked Jerry to run to the store so that he would be late for home.	44	he	Jerry	Tim,Jerry
The food in the refrigerator went bad because it was past the expiration date.	46	it	The food	The food,the refrigerator
The food in the refrigerator went bad because it was not plugged in.	46	it	the refrigerator	The food,the refrigerator
The police captured the criminals because they were less prepared.	42	they	the criminals	The police,the criminals
The police captured the criminals because they were more prepared.	42	they	The police	The police,the criminals
The ball broke the window because it was fragile.	34	it	the window	The ball,the window
The ball broke the window because it was hard.	34	it	The ball	The ball,the window
Thomas pursued Peter, but he escaped.	26	he	Peter	Thomas,Peter
Thomas pursued Peter, but he fell behind.	26	he	Thomas	Thomas,Peter
The employer let John have the assignment even though he did not want it.	54	he	John	The employer,John
The employer let John have the assignment even though he wanted it.	54	he	The employer	The employer,John
The computer rejected the password because it was incorrect.	43	it	the password	The computer,the password
The computer rejected the password because it was malfunctioning.	43	it	The computer	The computer,the password
The kids asked their neighbors if they could have candy on Halloween.	34	they	The kids	The kids,their neighbors
The kids asked their neighbors if they had any candy on Halloween.	34	they	their neighbors	The kids,their neighbors
The glass told the toaster that it was fat.	32	it	the toaster	The glass,the toaster
The glass told the toaster that it liked chocolate.	32	it	The glass	The glass,the toaster
Sally gave Kelly a doll because she loved dolls.	32	she	Kelly	Sally,Kelly
Sally gave Kelly a doll because she had extra dolls.	32	she	Sally	Sally,Kelly
Jack pushed Tim down the stairs because he was mad.	40	he	Jack	Jack,Tim
Jack pushed Tim down the stairs and he slipped to the ground.	36	he	Tim	Jack,Tim
John asked the scientist what he was working on.	30	he	the scientist	John,the scientist
John asked the scientist what he could do to help.	30	he	John	John,the scientist
Knights preferred dragons over horses because they could fly.	46	they	dragons	horses,dragons
Knights preferred dragons over horses because they could not fly.	46	they	horses	horses,dragons
The artist told the model that she needed to stand up straighter.	31	she	the model	The artist,the model
The artist told the model that she needed to get more paint.	31	she	The artist	The artist,the model
Misty was replaced by May because she had to go back home.	34	she	Misty	Misty,May
Misty was replaced by May because she was the only one available.	34	she	May	Misty,May
Shigeru Miyamoto was the mentor of Satoshi Tajiri, so he learned many things.	54	he	Satoshi Tajiri	Shigeru Miyamoto,Satoshi Tajiri
Shigeru Miyamoto was the mentor of Satoshi Tajiri, so he taught many things.	54	he	Shigeru Miyamoto	Shigeru Miyamoto,Satoshi Tajiri
Brock understood the material better than Tracy because he was paying attention.	56	he	Brock	Brock,Tracy
Brock understood the material better than Tracy because he was not paying attention.	56	he	Tracy	Brock,Tracy
John wanted to vote for Doe, but he did not seem like the right candidate.	33	he	Doe	John,Doe
John wanted to vote for Doe, but he could not make up his mind.	33	he	John	John,Doe
Yuji was a fan of Michael Jackson because he enjoyed "Thriller".	42	he	Yuji	Yuji,Michael Jackson
Yuji was a fan of Michael Jackson because he was famous.	42	he	Michael Jackson	Yuji,Michael Jackson
Sega lost to Nintendo because they were superior.	30	they	Nintendo	Sega,Nintendo
Sega lost to Nintendo because they were inferior.	30	they	Sega	Sega,Nintendo
