id	source	target	pronoun_idx	pronoun	selected_nouns	candidates_nouns	label
31	Dan had to stop Bill from toying with the injured bird. He is very cruel.	Bill is very cruel.	56	He	Bill	Dan|Bill|the injured bird	1
32	Tom said "Check" to Ralph as he took his bishop.	Tom said "Check" to Ralph as he took Ralph's bishop.	37	his	Ralph	Tom|Ralph|his bishop	1
33	I sallied out for a bit of food, more to pass the time than because I wanted it.	I sallied out for a bit of food, more to pass the time than because I wanted food.	77	it	food	the time|a bit|food	1
34	Joe paid the detective after he received the final report on the case.	Joe received the final report on the case.	29	he	Joe	the detective|the final report|Joe|the case	1
35	We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.	There were simply too many copies of the newsletter.	118	them	the newsletter	all the chairs|the auditorium|the newsletter|copies	0
36	Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.	He will be moving into The new house on Thursday.	85	it	The new house	The new house|Thursday|Joe|a new one|miles	1
37	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	He could not help Dad now.	73	him	Dad	the office|Larry|Dad|his boss|anyone|the railroad company|his work	1
38	The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.	Beside the table there were crocks, baskets, and a five-quart pail of milk.	60	it	the table	crocks|milk|baskets|The table|a five-quart pail|the floor|food	1
39	Jim comforted Kevin because he was so upset.	Kevin was so upset.	28	he	Kevin	Kevin|Jim	1
40	Jackson was greatly influenced by Arnold, though he lived two centuries earlier.	Arnold lived two centuries earlier.	49	he	Arnold	centuries|Arnold|Jackson	1
41	There is a pillar between me and the stage, and I can't see around it.	I can't see around the stage.	67	it	the stage	the stage|a pillar	0
42	Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.	Prehistoric humans hunted for deer on the river banks.	76	They	Prehistoric humans	years|Prehistoric humans|the river banks|Archaeologists|deer|Laputa	1
43	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.	Amy's parents are snobs.	86	they	Amy's parents	love|Amy's parents|snobs|Amy|Sam	1
44	Bill passed the half-empty plate to John because he was hungry.	John was hungry.	49	he	John	the half-empty plate|John|Bill	1
45	Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.	She writes the book when she gets home from work.	106	it	the book	the library|an article|the book|Sara|work	0
46	John promised Bill to leave, so an hour later he left.	Bill left.	46	he	Bill	John|hour|Bill	0
47	Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.	She reads the article when she gets home from work.	105	it	the article	the library|the article|the book|Sara|work	0
48	Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.	The door of the shop closed after Steve.	81	him	Steve	Steve's feet|the window|The door|the ladder|Steve|the shop|Mark	1
49	Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.	When Fred first saw my father, My father was twelve years old.	102	he	My father	years|my father|Fred|an infant|the only man	0
50	Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: "There's plenty."	Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.	196	her	Grandma	Grandma|an abundance|Tatyana's small mother|the place|her shawl|plenty|her shoulders|her guests|food|Tatyana|a wide, scrawny embrace|honor|the table	0
51	Fred watched TV while George went out to buy groceries. After an hour he got back.	George got back.	70	he	George	Fred watched TV|George|groceries|an hour	1
52	Lily spoke to Donna, breaking her concentration.	Lily spoke to Donna, breaking Donna's concentration.	30	her	Donna	Donna|her concentration|Lily	1
53	Although they ran at about the same speed, Sue beat Sally because she had such a bad start.	Sue had such a bad start.	66	she	Sue	such a bad start|Sally|about the same speed|Sue	0
54	Madonna fired her trainer because she couldn't stand her boyfriend.	She couldn't stand Madonna's boyfriend.	53	her	Madonna	her trainer|Madonna|her boyfriend	0
55	I can't cut that tree down with that axe; it is too small.	The axe is too small.	42	it	The axe	that tree|The axe	1
56	Madonna fired her trainer because she slept with her boyfriend.	She slept with Madonna's boyfriend.	49	her	Madonna	her trainer|Madonna|her boyfriend	1
57	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.	I don't know why the guy in uniform was, but he looked very unhappy.	92	he	the guy in uniform	the guy in uniform|Jim|a huge red beard|a military uniform|some guy	0
58	Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.	Alice's daughter was behaving so strangely.	98	she	Alice's daughter	the party|Alice|Alice's daughter|her daughter	0
59	Jane knocked on Susan's door but she did not answer.	Jane did not answer.	33	she	Jane	Jane|Susan's door	0
60	The politicians far away in Washington could not know the settlers so they must make rules to regulate them.	The politicians must make rules to regulate them.	70	they	The politicians	Washington|rules|The politicians|the settlers	1
61	A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-letter days for him.	Those occasions stood out as red-letter days for Henry.	208	him	Henry	interviews|A number|those occasions|Henry|perplexing mysteries|his aid|noted detectives|red-letter days|his father|times	1
62	Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.	The chair was broken, so he had to stand instead.	40	it	The chair	Sam|the piano|The chair	1
63	Since it was raining, I carried the newspaper over my backpack to keep it dry.	I carried the newspaper over my backpack to keep the backpack dry.	71	it	the backpack	the backpack|the newspaper	1
64	The politicians far away in Washington could not know the settlers so they must make rules to regulate them.	They must make rules to regulate the politicians.	103	them	the politicians	Washington|rules|The politicians|the settlers	0
65	Anna did a lot better than her good friend Lucy on the test because she had studied so hard.	Anna had studied so hard.	68	she	Anna	Lucy|her good friend|the test|lot|Anna	1
66	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	Mr. Singer heard him calling for the captain	38	He	Mr. Singer	the cabin|Mr. Singer's heels|not one thing|all his crew|the ship|the work|night|the captain|only the ammunition|stay|everyone|Mr. Singer|the jargon|Mark	0
67	Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.	My great-grandfather was a remarkable man.	69	He	My great-grandfather	Fred|the only man|my great-grandfather|a remarkable man	1
68	I couldn't put the pot on the shelf because it was too high.	The shelf was too high.	44	it	The shelf	the shelf|the pot	1
69	No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.	That's exactly how the study makes us feel.	152	it	the study	the study|No one|Wisconsin|George|psychologist|Lincoln|University|Facebook	0
70	Bob paid for Charlie's college education. He is very generous.	Bob is very generous.	42	He	Bob	Bob|Charlie's college education	1
71	John promised Bill to leave, so an hour later he left.	John left.	46	he	John	John|hour|Bill	1
72	Frank was upset with Tom because the toaster he had sold him didn't work.	The toaster Frank had sold him didn't work.	45	he	Frank	Tom|Frank|the toaster	0
73	Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet.	Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet.	126	his	Haven	swoon|a pallid young dandy|his feet|poodle|a jade-handled walking stick|Haven|C.K. Dexter Haven	1
74	Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.	He will be moving out of The old house on Thursday.	87	it	The old house	The old house|Thursday|Joe|a new one|miles	1
75	Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.	The door of the shop closed after Mark.	81	him	Mark	Steve's feet|the window|The door|the ladder|the shop|Mark	0
76	It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.	Even one thread uncut will leave the right size too small.	232	it	the right size	thread|the right size|buttonholes|the hole|distance|The tiniest slip|the scissors	0
77	Billy cried because Toby wouldn't accept his toy.	Billy cried because Toby wouldn't accept Toby's toy.	41	his	Toby	his toy|Toby|Billy	0
78	As Ollie carried Tommy up the long winding steps, his legs dangled.	Ollie's legs dangled.	50	his	Ollie	Ollie|his legs|Tommy|the long winding steps	0
79	Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.	The chair was broken, so he had to sing instead.	40	it	The chair	Sam|the piano|The chair	0
80	The fish ate the worm. It was hungry.	The worm was hungry.	23	It	The worm	the worm|The fish	0
81	The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.	The journalists were very cooperative, so the interview lasted for a long time.	56	They	The journalists	The journalists|the new movie|the stars|a long time|the interview	0
82	The trophy doesn't fit into the brown suitcase because it is too small.	The trophy is too small.	55	it	The trophy	The trophy|the brown suitcase	0
83	Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.	Cooper had been travelling for five years.	53	he	Cooper	that date|Cooper's grave|five years|Thomson|Cooper	0
84	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	She put the album on a chair without even opening the living room.	242	it	the living room	the living room|No time|Mama|Today|old pictures|Alice|a chair|a button|the album|the button|her favorite photo album	0
85	Bill passed the half-empty plate to John because he was full.	Bill was full.	49	he	Bill	the half-empty plate|John|Bill	1
86	Bill passed the half-empty plate to John because he was full.	John was full.	49	he	John	the half-empty plate|John|Bill	0
87	The foxes are getting in at night and attacking the chickens. I shall have to kill them.	I shall have to kill The foxes.	83	them	The foxes	The foxes|the chickens|night	1
88	Joe's uncle can still beat him at tennis, even though he is 30 years younger.	Joe is 30 years younger.	54	he	Joe	years|tennis|Joe's uncle|Joe	1
89	Emma did not pass the ball to Janie although she was open.	She saw that Janie was open.	45	she	Janie	the ball|Emma|Janie	1
90	Bill passed the gameboy to John because his turn was over.	Bill's turn was over.	40	his	Bill	the gameboy|his turn|Bill|John	1
91	Ann asked Mary what time the library closes, because she had forgotten.	Ann had forgotten.	53	she	Ann	Mary|the library|what time|Ann	1
92	Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.	Pam's parents were furious about it.	75	They	Pam's parents	Paul|her boyfriend|sex|Pam's parents	1
93	This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.	This afternoon the tide knocked The flag down.	130	it	The flag	the highest tower|the tide|morning|a sand castle|Joey|the beach|The flag|afternoon|a toy flag	0
94	The man couldn't lift his son because he was so weak.	The man was so weak.	38	he	The man	The man|his son	1
95	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.	The customer was immediately taken to the hospital.	66	He	The customer	the bank|the hospital|The customer|the tellers	0
96	Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval	He couldn't very well marry without Chester's approval	81	his	Chester	Chester|Uncle Vernon|his approval	0
97	Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.	Mama stroked her hair and let the child weep.	49	she	Mama	Mama|Alice|her hair|the child	1
98	Emma did not pass the ball to Janie although she saw that she was open.	Emma saw that she was open.	45	she	Emma	the ball|Emma|Janie	1
99	Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.	Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him.	48	He	Mark	the stable boys|the animal|care|the white horse|Blaze|the Burlington Stables|the feeding|Mark	1
100	By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.	Tatyana doubted if her mother slept.	213	she	her mother	Her eyes|the bunk|Tatyana|her mother|her upper berth|the edge	1
101	James asked Robert for a favor but he was refused.	Robert was refused.	35	he	Robert	Robert|James|a favor	0
102	I can't cut that tree down with that axe; it is too thick.	The axe is too thick.	42	it	The axe	that tree|The axe	0
103	Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.	Bob was very ill.	64	He	Bob	Bob|the sidewalk|Carl	1
104	Emma did not pass the ball to Janie although she saw that she was open.	Janie saw that she was open.	45	she	Janie	the ball|Emma|Janie	0
105	Tom gave Ralph a lift to school so he wouldn't have to drive alone.	Tom wouldn't have to drive alone.	35	he	Tom	Tom|Ralph|school|a lift	1
106	Sam's drawing was hung just above Tina's and it did look much better with another one below it.	Sam's drawing did look much better with another one below it.	45	it	Sam's drawing	another one|Tina|Sam's drawing	1
107	Although they ran at about the same speed, Sue beat Sally because she had such a good start.	Sue had such a good start.	66	she	Sue	such a good start|Sally|about the same speed|Sue	1
108	Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.	The sweater looks dowdy on her.	66	it	The sweater	my jacket|The sweater|Grace	1
109	Bob paid for Charlie's college education. He is very grateful.	Charlie is very grateful.	42	He	Charlie	Charlie|Bob|Charlie's college education	1
110	Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.	The sweater looks great on her.	66	it	The sweater	my jacket|The sweater|Grace	0
111	Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.	Mr. Schmidt's work was beautiful.	189	his	Mr. Schmidt's	Mr. Schmidt's|day|an hour|his work|a long nap|dinner|Mark	1
112	The man lifted the boy onto his shoulders.	The man lifted the boy onto the man's shoulders.	28	his	man	the boy|his shoulders|man	1
113	Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.	coats were not prepared for the cold in Alaska.	45	they	coats	the cold|Alaska|coats|Fred|Alice	0
114	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.	Yakutsk was defeated within weeks.	113	they	Yakutsk	Kamtchatka|July|weeks|Yakutsk's army|war|Yakutsk|times	0
115	Jackson was greatly influenced by Arnold, though he lived two centuries earlier.	Jackson lived two centuries earlier.	49	he	Jackson	centuries|Arnold|Jackson	0
116	The path to the lake was blocked, so we couldn't use it.	We couldn't use the lake.	53	it	the lake	The path|the lake	0
117	Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.	She reads the book when she gets home from work.	105	it	the book	the library|an article|the book|Sara|work	1
118	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.	The teller was immediately taken to the police station.	66	He	The teller	the bank|the police station|The teller|The customer	0
119	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.	Bob would be here by this time.	100	he	Bob	Adam|this time|time|work|Bob	1
120	What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?	You thought tulip bulbs were onions?	81	they	tulip bulbs	the time|the hamburgers|onions|tulip bulbs	1
121	This book introduced Shakespeare to Ovid; it was a major influence on his writing.	It was a major influence on Shakespeare's writing.	70	his	Shakespeare	Shakespeare|This book|Ovid|a major influence|his writing	1
122	Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.	Cooper had been dead for five years.	53	he	Cooper	that date|Cooper's grave|five years|Thomson|Cooper	1
123	Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.	He changed his mind and turned the TV on.	163	it	the TV	Fred|his mind|the show|the dishwasher|the TV	0
124	Paul tried to call George on the phone, but he wasn't available.	George wasn't available.	44	he	George	Paul|George|the phone	1
125	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.	Tatyana was careful not to disturb her, undressing and climbing back into her berth.	57	She	Tatyana	her berth|her mother|the cabin|Tatyana	1
126	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	Anyone who knew that he was 19 years old could take his claim away from the government official.	245	him	the government official	a homestead claim|years|Bernard|anyone|anything|the government official|his claim	0
127	Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.	My great-grandfather is a remarkable man.	69	He	My great-grandfather	Fred|the only man|my great-grandfather|a remarkable man	0
128	I put the cake away in the refrigerator. It has a lot of leftovers in it.	The cake has a lot of leftovers in it.	41	It	The cake	leftovers|the cake|a lot|the refrigerator	0
129	Jim signaled the barman and gestured toward his bathroom key.	Jim signaled the barman and gestured toward The barman's bathroom key.	44	his	barman	his bathroom key|barman|Jim	1
130	Steve follows Fred's example in everything. He influences him hugely.	Fred influences him hugely.	44	He	Fred	Fred|Fred's example|Steve|everything	1
131	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.	She was careful not to disturb her mother , undressing and climbing back into her berth.	88	her	her mother	her berth|her mother|the cabin|Tatyana	1
132	Jane gave Joan candy because she wasn't hungry.	Jane wasn't hungry.	29	she	Jane	Jane|candy|Joan	1
133	When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.	Father gave Tommy a stern look.	64	him	Tommy	Tommy|Timmy|father|a stern look|his ice cream	0
134	I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.	The coffee got full of ink.	113	it	The coffee	The coffee|a pen|ink|a spoon|a bad idea	1
135	The man couldn't lift his son because he was so weak.	The son was so weak.	38	he	The son	The man|The son	0
136	Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.	The shepherds ended up looking more like golfers.	58	they	The shepherds	The shepherds|golfers|a picture|Sam|sheep	1
137	I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.	The pen got full of ink.	113	it	The pen	my coffee|ink|a spoon|The pen|a bad idea	0
138	John was jogging through the park when he saw a man juggling watermelons. He was very impressed.	John was very impressed.	74	He	John	the park|John|watermelons|a man	1
139	Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.	He lowered his eyes when the wind stopped.	91	them	his eyes	Fred|his eyes|the wind|his hands|sand	0
140	The delivery truck zoomed by the school bus because it was going so fast.	The school bus was going so fast.	52	it	The school bus	The delivery truck|the school bus	0
141	During a game of tag, Ethan chased Luke because he was "it".	Luke was "it".	48	he	Luke	Luke|tag|Ethan|a game	0
142	There is a gap in the wall. You can see the garden behind it.	You can see the garden through the wall.	58	it	the wall	the wall|the garden|a gap	1
143	I took the water bottle out of the backpack so that it would be lighter.	I took the water bottle out of the backpack so that the water bottle would be lighter.	52	it	the water bottle	the water bottle|the backpack	0
144	The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.	The sun was out.	95	it	The sun	the time|the picnic|morning|The sun|a thick cloud	1
145	Jim yelled at Kevin because he was so upset.	Jim was so upset.	28	he	Jim	Kevin|Jim	1
146	Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.	Dora asked what the sound was.	90	it	the sound	Dora|Dad|firecrackers|corn|town|the sound	1
147	Bill passed the gameboy to John because his turn was next.	Bill's turn was next.	40	his	Bill	the gameboy|his turn|Bill|John	0
148	Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.	He changed his mind and turned the dishwasher on.	163	it	the dishwasher	Fred|TV|his mind|the show|the dishwasher	1
149	As Ollie carried Tommy up the long winding steps, his legs ached.	Tommy's legs ached.	50	his	Tommy	Ollie|his legs|Tommy|the long winding steps	0
150	The foxes are getting in at night and attacking the chickens. I shall have to kill them.	I shall have to kill The chickens.	83	them	The chickens	The foxes|the chickens|night	0
151	Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	It was bad enough that the faces had to be denied so many things because he couldn't afford them.	89	they	the faces	the children's faces|Papa|so many things|the faces	0
152	The sack of potatoes had been placed above the bag of flour, so it had to be moved first.	The bag of flour had to be moved first.	64	it	The bag of flour	potatoes|the bag|The bag of flour|The sack|flour	0
153	The dog chased the cat, which ran up a tree. It waited at the top.	The dog waited at the top.	45	It	The dog	a tree|The dog|the top|the cat	0
154	Steve follows Fred's example in everything. He admires him hugely.	Fred admires him hugely.	44	He	Fred	Fred|Fred's example|Steve|everything	0
155	The woman held the girl against her chest.	The woman held the girl against the woman's chest.	32	her	woman	the girl|woman|her chest	1
156	The dog chased the cat, which ran up a tree. It waited at the bottom.	The dog waited at the bottom.	45	It	The dog	the bottom|a tree|The dog|the cat	1
157	Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.	Carl was very concerned.	64	He	Carl	Bob|the sidewalk|Carl	1
158	Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.	The crutches should be unnecessary.	85	they	The crutches	month|The crutches|Sam|both his ankles	1
159	I stuck a pin through a carrot. When I pulled the pin out, it left a hole.	The carrot left a hole.	59	it	The carrot	a hole|a pin|the pin|The carrot	0
160	Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.	The sheep ended up looking more like dogs.	58	they	The sheep	a picture|shepherds|dogs|Sam|The sheep	1
161	In the middle of the outdoor concert, the rain started falling, and it continued until 10.	The concert continued until 10.	68	it	The concert	the middle|The concert|the rain	0
162	The firemen arrived before the police because they were coming from so far away.	The firemen were coming from so far away.	46	they	The firemen	the police|The firemen	0
163	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.	I couldn't get the key in.	116	it	the key	the lock|the key|the keyhole|chewing gum|someone	1
164	Of one thing Mark was sure. Harry knew much less than he did.	Harry knew much less than Mark did.	54	he	Mark	one thing|Harry|Mark	1
165	The Dakota prairie lay so warm and bright under the shining sun that it did not seem possible that it had ever been swept by the winds and snows of that hard winter.	It did not seem possible that the prairie had ever been swept by the winds and snows of that hard winter.	99	it	the prairie	the prairie|the winds|The Dakota prairie|the shining sun|that hard winter|snows	1
166	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.	The dog was hot.	147	it	The dog	the middle|the lawn|a summer afternoon|the dog|a spot|a while|the tree	1
167	Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.	Frank was the winner of the competition.	65	he	Frank	Frank|the winner|his longtime rival|Bill|the competition	1
168	Joan made sure to thank Susan for all the help she had given.	Joan made sure to thank Susan for all the help Susan had given.	47	she	Susan	all the help|Susan|Joan	1
169	They broadcast an announcement, but a subway came into the station and I couldn't hear over it.	I couldn't hear the announcement.	92	it	the announcement	a subway|the station|the announcement	0
170	John was doing research in the library when he heard a man humming and whistling. He was very annoyed.	John was very annoyed.	82	He	John	John|the library|a man|research	1
171	Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.	She has loved the piece since she was a child.	77	it	the piece	her flute|Mary|the piece|a child	1
172	I'm sure that my map will show this building; it is very good.	The map is very good.	46	it	The map	The map|this building	1
173	Carol believed that Rebecca regretted that she had stolen the watch.	Carol believed that Rebecca regretted that Rebecca had stolen the watch.	43	she	Rebecca	Carol|Rebecca|the watch	1
174	The table won't fit through the doorway because it is too narrow.	The doorway is too narrow.	48	it	The doorway	The table|the doorway	1
175	If the con artist has succeeded in fooling Sam, he would have lost a lot of money.	The con artist would have lost a lot of money.	48	he	The con artist	Sam|a lot|the con artist|money	0
